Name,Employee ID,Service Center,Date,Reweigh Total,Reweigh Captured,Reweigh Percentage
Sean Obrien,15537511,HOU,2023-08-09,13,9,0.69
Natalie Hopkins,40497336,SHV,2023-08-09,9,1,0.11
Stacy Turner,73458833,DAL,2023-08-09,22,7,0.32
James Harris,90946995,FTW,2023-08-09,14,6,0.43
Sarah Cook,26413709,SHV,2023-08-09,65,59,0.91
Amy Escobar,24798974,SHV,2023-08-09,25,10,0.4
Latoya Salazar,67499931,OKC,2023-08-09,15,11,0.73
Brenda Anderson,19927556,SHV,2023-08-09,43,33,0.77
Rachel Williams,82865659,FTW,2023-08-09,8,3,0.38
Dana Stewart,60786305,STX,2023-08-09,26,17,0.65
Sandra Harris,96132022,DAL,2023-08-09,28,21,0.75
James Roach,20716601,STX,2023-08-09,38,19,0.5
Anna Arnold,66814478,DAL,2023-08-09,8,4,0.5
Jose Mendoza,69637807,HOU,2023-08-09,10,6,0.6
Charles Lloyd,98201322,OKC,2023-08-09,23,7,0.3
Sheryl Hill,34639709,DAL,2023-08-09,36,26,0.72
David Murray,6339396,DAL,2023-08-09,2,0,0.0
Patricia Jackson,39617078,SHV,2023-08-09,1,0,0.0
Jordan Riggs,45897467,DAL,2023-08-09,42,39,0.93
Gregory Stewart,4886122,HOU,2023-08-09,10,2,0.2
Mark Collier,9309564,OKC,2023-08-09,4,0,0.0
Lauren Singleton,42856486,STX,2023-08-09,17,4,0.24
Ronald Duarte,50493362,SHV,2023-08-09,20,9,0.45
John White,93384238,STX,2023-08-09,70,41,0.59
Sandra Hopkins,48756022,DAL,2023-08-09,29,7,0.24
Jill Perez,18947956,DAL,2023-08-09,40,2,0.05
John Jones,77743148,HOU,2023-08-09,13,0,0.0
Valerie Martinez,11650492,FTW,2023-08-09,22,7,0.32
Chelsea Maddox,66295315,STX,2023-08-09,71,42,0.59
Chase Hammond,23514686,FTW,2023-08-09,33,31,0.94
Dorothy Mcbride,83218580,DAL,2023-08-09,10,0,0.0
Barbara Ryan,17568007,DAL,2023-08-09,51,27,0.53
Lynn Hawkins,87449731,HOU,2023-08-09,24,17,0.71
Clarence Gonzalez,2392005,HOU,2023-08-09,48,8,0.17
Anna Smith,2526554,FTW,2023-08-09,8,7,0.88
Peggy Tate,30840273,FTW,2023-08-09,52,41,0.79
Matthew Miles,88643207,FTW,2023-08-09,4,0,0.0
Ruth Hansen,26410811,OKC,2023-08-09,3,3,1.0
Melissa Jones,92375666,FTW,2023-08-09,20,2,0.1
Jose Lloyd,56962859,FTW,2023-08-09,16,13,0.81
Travis Hernandez,31868090,DAL,2023-08-09,26,3,0.12
Elaine Flores,82308356,OKC,2023-08-09,109,70,0.64
Kiara Williams,9364733,FTW,2023-08-09,16,15,0.94
Erin Johnson,47665349,HOU,2023-08-09,10,8,0.8
Kimberly Lawson,16559716,SHV,2023-08-09,37,30,0.81
Mary Watson,6002164,HOU,2023-08-09,3,2,0.67
David Newton,67750878,STX,2023-08-09,12,5,0.42
Rachel Parsons,26264579,FTW,2023-08-09,16,4,0.25
Karen Mathis,27600905,HOU,2023-08-09,15,6,0.4
Jennifer Bowman,59486462,FTW,2023-08-09,2,2,1.0
Patrick Small,39057094,HOU,2023-08-09,0,0,
Jeremy Fry,1481337,STX,2023-08-09,0,0,
Denise Sanchez,58873729,SHV,2023-08-09,4,2,0.5
Miranda West,46967111,STX,2023-08-09,68,8,0.12
Jose Carroll,34218855,FTW,2023-08-09,81,16,0.2
Roberto Alexander,57320968,FTW,2023-08-09,1,0,0.0
Colin King,27389471,OKC,2023-08-09,6,5,0.83
Ethan Gallegos,3536701,HOU,2023-08-09,10,10,1.0
Brittany Webb,37390235,FTW,2023-08-09,12,1,0.08
Austin Herrera,60256606,STX,2023-08-09,18,10,0.56
Bryan Pham,7886301,STX,2023-08-09,31,12,0.39
Brian Taylor,75222115,FTW,2023-08-09,1,0,0.0
Jennifer Brown,57107385,DAL,2023-08-09,5,2,0.4
Tiffany Smith,69716341,SHV,2023-08-09,9,6,0.67
Kristy Jacobs,68190334,HOU,2023-08-09,0,0,
Tony Powell,20879496,DAL,2023-08-09,41,12,0.29
Brandon Moreno,4793547,DAL,2023-08-09,8,7,0.88
Anna Nelson,14325942,SHV,2023-08-09,38,29,0.76
Jacob Carr,74843235,DAL,2023-08-09,6,2,0.33
Pamela Maldonado,81354516,STX,2023-08-09,2,2,1.0
Ryan Porter,34435132,OKC,2023-08-09,51,4,0.08
Hunter Munoz,80766757,OKC,2023-08-09,4,1,0.25
James Bartlett,92131686,OKC,2023-08-09,29,1,0.03
John Woodward,43839176,DAL,2023-08-09,32,20,0.62
Tina Brown,60561543,DAL,2023-08-09,36,15,0.42
Tina Hernandez,72195856,STX,2023-08-09,66,35,0.53
Monique Ray,64606888,HOU,2023-08-09,2,2,1.0
Dave Graham,11267032,STX,2023-08-09,8,2,0.25
Timothy Mccormick,12800401,STX,2023-08-09,30,15,0.5
Adam Farmer,43978655,DAL,2023-08-09,23,17,0.74
Chris Madden,94850672,OKC,2023-08-09,29,15,0.52
Daniel Ibarra,42835825,HOU,2023-08-09,28,13,0.46
Gary Jennings,17112032,DAL,2023-08-09,0,0,
Tracy Johnson,8933606,STX,2023-08-09,18,1,0.06
Sara Davis,40994287,FTW,2023-08-09,0,0,
Michael Gonzales,94497229,DAL,2023-08-09,9,8,0.89
Michael Leach,87179195,STX,2023-08-09,30,26,0.87
Mark Flowers,41639238,HOU,2023-08-09,19,13,0.68
Janice Farmer,97058780,STX,2023-08-09,41,21,0.51
Jacob Hood,31301588,FTW,2023-08-09,12,8,0.67
Elizabeth Stevenson,94871444,STX,2023-08-09,11,6,0.55
Tanner Romero,34636635,SHV,2023-08-09,12,0,0.0
Karen Wells,69335321,FTW,2023-08-09,48,18,0.38
Erik Thompson,49016266,HOU,2023-08-09,1,0,0.0
Rhonda Brooks,13604223,OKC,2023-08-09,39,39,1.0
Brandon Harrell,33123179,SHV,2023-08-09,40,13,0.32
Caitlin George,47685118,HOU,2023-08-09,70,0,0.0
Eric Jackson,53018010,SHV,2023-08-09,11,2,0.18
Thomas Cummings,57246918,FTW,2023-08-09,11,11,1.0
Heather Fuller,16604091,STX,2023-08-09,12,4,0.33
Jimmy Ruiz,63589781,SHV,2023-08-09,8,0,0.0
Veronica Powell,36801459,OKC,2023-08-09,77,26,0.34
Wanda Stanton,4154277,STX,2023-08-09,33,10,0.3
Tami Cooke,14858504,DAL,2023-08-09,45,36,0.8
Lori Glover,31638930,FTW,2023-08-09,2,2,1.0
Cassandra Mckinney,6676986,FTW,2023-08-09,67,42,0.63
Amanda Edwards,65745320,OKC,2023-08-09,94,70,0.74
Stephanie Williams,94908655,STX,2023-08-09,10,10,1.0
Sean Jensen,35869513,OKC,2023-08-09,6,0,0.0
Vicki Lucas,12893340,DAL,2023-08-09,8,1,0.12
Chris Strong,75702629,HOU,2023-08-09,4,3,0.75
Melody Morris,47601713,STX,2023-08-09,40,11,0.28
Brent Farmer,88724736,HOU,2023-08-09,67,58,0.87
Kaitlyn Riley,59208620,FTW,2023-08-09,4,4,1.0
Hunter Woods,75028321,DAL,2023-08-09,77,66,0.86
Jared Brown,52539361,FTW,2023-08-09,30,1,0.03
Tammy Martinez,70842924,DAL,2023-08-09,52,39,0.75
Amy Griffin,18363974,FTW,2023-08-09,57,35,0.61
Susan Carlson,16135607,OKC,2023-08-09,7,4,0.57
Aaron Gaines,52252216,SHV,2023-08-09,7,5,0.71
Jacob Mccormick,72130366,SHV,2023-08-09,15,4,0.27
Timothy Doyle,7543154,FTW,2023-08-09,5,4,0.8
Alexandria Bass,21931263,SHV,2023-08-09,3,0,0.0
Monique Davis,39583203,STX,2023-08-09,3,1,0.33
James Rhodes,91962453,FTW,2023-08-09,6,0,0.0
Matthew Sanchez,96730712,FTW,2023-08-09,4,3,0.75
Seth Tran,26028559,SHV,2023-08-09,1,0,0.0
Jacob Taylor,82557048,SHV,2023-08-09,57,50,0.88
David West,97218182,FTW,2023-08-09,7,3,0.43
Christina Hernandez,73867417,OKC,2023-08-09,6,2,0.33
James Montoya,80808297,SHV,2023-08-09,21,4,0.19
James Cook,28080912,HOU,2023-08-09,28,12,0.43
Lisa Cox,85448011,OKC,2023-08-09,3,1,0.33
James Thompson,54275980,SHV,2023-08-09,12,9,0.75
Brandy Miller,17426573,DAL,2023-08-09,7,1,0.14
Matthew Smith,33080142,STX,2023-08-09,15,9,0.6
Jeffrey Smith,83152142,STX,2023-08-09,8,5,0.62
Bobby Cummings,30700646,HOU,2023-08-09,7,7,1.0
Sean Robertson,63184988,HOU,2023-08-09,14,0,0.0
Tammy Harris,75592235,STX,2023-08-09,55,20,0.36
Victoria Carlson,64573636,STX,2023-08-09,4,0,0.0
Ryan Brown,56185271,FTW,2023-08-09,72,71,0.99
Benjamin Stephens,34036186,DAL,2023-08-09,11,4,0.36
Douglas Nelson,7837865,OKC,2023-08-09,14,13,0.93
Monica Saunders,77624219,STX,2023-08-09,5,0,0.0
Anne French,35660979,DAL,2023-08-09,4,2,0.5
Brian Fisher,76391571,DAL,2023-08-09,33,11,0.33
Jeanne Williamson,71039737,DAL,2023-08-09,24,10,0.42
Douglas Nichols,77270999,SHV,2023-08-10,6,0,0.0
David Ford,9977034,FTW,2023-08-10,0,0,
Sean Obrien,15537511,HOU,2023-08-10,23,7,0.3
Natalie Hopkins,40497336,SHV,2023-08-10,13,3,0.23
Stacy Turner,73458833,DAL,2023-08-10,5,5,1.0
James Harris,90946995,FTW,2023-08-10,7,4,0.57
Sarah Cook,26413709,SHV,2023-08-10,3,2,0.67
Amy Escobar,24798974,SHV,2023-08-10,9,2,0.22
Latoya Salazar,67499931,OKC,2023-08-10,10,7,0.7
Brenda Anderson,19927556,SHV,2023-08-10,74,7,0.09
Rachel Williams,82865659,FTW,2023-08-10,6,4,0.67
Dana Stewart,60786305,STX,2023-08-10,4,0,0.0
Sandra Harris,96132022,DAL,2023-08-10,36,18,0.5
James Roach,20716601,STX,2023-08-10,13,5,0.38
Anna Arnold,66814478,DAL,2023-08-10,15,5,0.33
Jose Mendoza,69637807,HOU,2023-08-10,4,3,0.75
Charles Lloyd,98201322,OKC,2023-08-10,22,8,0.36
Sheryl Hill,34639709,DAL,2023-08-10,103,20,0.19
David Murray,6339396,DAL,2023-08-10,10,4,0.4
Patricia Jackson,39617078,SHV,2023-08-10,10,6,0.6
Jordan Riggs,45897467,DAL,2023-08-10,7,3,0.43
Gregory Stewart,4886122,HOU,2023-08-10,26,12,0.46
Mark Collier,9309564,OKC,2023-08-10,42,30,0.71
Lauren Singleton,42856486,STX,2023-08-10,25,16,0.64
Ronald Duarte,50493362,SHV,2023-08-10,20,0,0.0
John White,93384238,STX,2023-08-10,42,3,0.07
Sandra Hopkins,48756022,DAL,2023-08-10,7,0,0.0
Jill Perez,18947956,DAL,2023-08-10,10,6,0.6
John Jones,77743148,HOU,2023-08-10,33,10,0.3
Valerie Martinez,11650492,FTW,2023-08-10,13,2,0.15
Chelsea Maddox,66295315,STX,2023-08-10,45,35,0.78
Chase Hammond,23514686,FTW,2023-08-10,4,4,1.0
Dorothy Mcbride,83218580,DAL,2023-08-10,37,35,0.95
Barbara Ryan,17568007,DAL,2023-08-10,8,6,0.75
Lynn Hawkins,87449731,HOU,2023-08-10,27,2,0.07
Clarence Gonzalez,2392005,HOU,2023-08-10,22,8,0.36
Anna Smith,2526554,FTW,2023-08-10,23,8,0.35
Peggy Tate,30840273,FTW,2023-08-10,32,7,0.22
Matthew Miles,88643207,FTW,2023-08-10,8,0,0.0
Ruth Hansen,26410811,OKC,2023-08-10,5,2,0.4
Melissa Jones,92375666,FTW,2023-08-10,69,36,0.52
Jose Lloyd,56962859,FTW,2023-08-10,8,8,1.0
Travis Hernandez,31868090,DAL,2023-08-10,29,23,0.79
Elaine Flores,82308356,OKC,2023-08-10,1,1,1.0
Kiara Williams,9364733,FTW,2023-08-10,61,47,0.77
Erin Johnson,47665349,HOU,2023-08-10,47,38,0.81
Kimberly Lawson,16559716,SHV,2023-08-10,26,5,0.19
Mary Watson,6002164,HOU,2023-08-10,21,4,0.19
David Newton,67750878,STX,2023-08-10,5,3,0.6
Rachel Parsons,26264579,FTW,2023-08-10,55,46,0.84
Karen Mathis,27600905,HOU,2023-08-10,34,20,0.59
Jennifer Bowman,59486462,FTW,2023-08-10,6,4,0.67
Patrick Small,39057094,HOU,2023-08-10,2,2,1.0
Jeremy Fry,1481337,STX,2023-08-10,34,13,0.38
Denise Sanchez,58873729,SHV,2023-08-10,10,9,0.9
Miranda West,46967111,STX,2023-08-10,56,4,0.07
Jose Carroll,34218855,FTW,2023-08-10,32,15,0.47
Roberto Alexander,57320968,FTW,2023-08-10,10,7,0.7
Colin King,27389471,OKC,2023-08-10,93,45,0.48
Ethan Gallegos,3536701,HOU,2023-08-10,32,18,0.56
Brittany Webb,37390235,FTW,2023-08-10,6,5,0.83
Austin Herrera,60256606,STX,2023-08-10,26,10,0.38
Bryan Pham,7886301,STX,2023-08-10,3,2,0.67
Brian Taylor,75222115,FTW,2023-08-10,2,1,0.5
Jennifer Brown,57107385,DAL,2023-08-10,8,1,0.12
Tiffany Smith,69716341,SHV,2023-08-10,4,4,1.0
Kristy Jacobs,68190334,HOU,2023-08-10,46,34,0.74
Tony Powell,20879496,DAL,2023-08-10,16,16,1.0
Brandon Moreno,4793547,DAL,2023-08-10,35,24,0.69
Anna Nelson,14325942,SHV,2023-08-10,5,2,0.4
Jacob Carr,74843235,DAL,2023-08-10,6,5,0.83
Pamela Maldonado,81354516,STX,2023-08-10,9,3,0.33
Ryan Porter,34435132,OKC,2023-08-10,22,2,0.09
Hunter Munoz,80766757,OKC,2023-08-10,52,10,0.19
James Bartlett,92131686,OKC,2023-08-10,4,0,0.0
John Woodward,43839176,DAL,2023-08-10,16,8,0.5
Tina Brown,60561543,DAL,2023-08-10,12,12,1.0
Tina Hernandez,72195856,STX,2023-08-10,5,5,1.0
Monique Ray,64606888,HOU,2023-08-10,13,4,0.31
Dave Graham,11267032,STX,2023-08-10,20,2,0.1
Timothy Mccormick,12800401,STX,2023-08-10,12,6,0.5
Adam Farmer,43978655,DAL,2023-08-10,43,12,0.28
Chris Madden,94850672,OKC,2023-08-10,9,2,0.22
Daniel Ibarra,42835825,HOU,2023-08-10,2,0,0.0
Gary Jennings,17112032,DAL,2023-08-10,0,0,
Tracy Johnson,8933606,STX,2023-08-10,19,4,0.21
Sara Davis,40994287,FTW,2023-08-10,8,6,0.75
Michael Gonzales,94497229,DAL,2023-08-10,17,9,0.53
Michael Leach,87179195,STX,2023-08-10,9,1,0.11
Mark Flowers,41639238,HOU,2023-08-10,52,6,0.12
Janice Farmer,97058780,STX,2023-08-10,44,19,0.43
Jacob Hood,31301588,FTW,2023-08-10,3,1,0.33
Elizabeth Stevenson,94871444,STX,2023-08-10,40,37,0.92
Tanner Romero,34636635,SHV,2023-08-10,6,6,1.0
Karen Wells,69335321,FTW,2023-08-10,41,5,0.12
Erik Thompson,49016266,HOU,2023-08-10,9,7,0.78
Rhonda Brooks,13604223,OKC,2023-08-10,30,2,0.07
Brandon Harrell,33123179,SHV,2023-08-10,7,6,0.86
Caitlin George,47685118,HOU,2023-08-10,59,56,0.95
Eric Jackson,53018010,SHV,2023-08-10,22,20,0.91
Thomas Cummings,57246918,FTW,2023-08-10,18,8,0.44
Heather Fuller,16604091,STX,2023-08-10,16,7,0.44
Jimmy Ruiz,63589781,SHV,2023-08-10,12,3,0.25
Veronica Powell,36801459,OKC,2023-08-10,18,6,0.33
Wanda Stanton,4154277,STX,2023-08-10,14,11,0.79
Tami Cooke,14858504,DAL,2023-08-10,3,1,0.33
Lori Glover,31638930,FTW,2023-08-10,0,0,
Cassandra Mckinney,6676986,FTW,2023-08-10,5,1,0.2
Amanda Edwards,65745320,OKC,2023-08-10,20,3,0.15
Stephanie Williams,94908655,STX,2023-08-10,5,3,0.6
Sean Jensen,35869513,OKC,2023-08-10,5,4,0.8
Vicki Lucas,12893340,DAL,2023-08-10,39,35,0.9
Chris Strong,75702629,HOU,2023-08-10,58,2,0.03
Melody Morris,47601713,STX,2023-08-10,6,3,0.5
Brent Farmer,88724736,HOU,2023-08-10,40,38,0.95
Kaitlyn Riley,59208620,FTW,2023-08-10,47,20,0.43
Hunter Woods,75028321,DAL,2023-08-10,6,2,0.33
Jared Brown,52539361,FTW,2023-08-10,8,4,0.5
Tammy Martinez,70842924,DAL,2023-08-10,39,8,0.21
Amy Griffin,18363974,FTW,2023-08-10,42,40,0.95
Susan Carlson,16135607,OKC,2023-08-10,91,64,0.7
Aaron Gaines,52252216,SHV,2023-08-10,42,42,1.0
Jacob Mccormick,72130366,SHV,2023-08-10,28,4,0.14
Timothy Doyle,7543154,FTW,2023-08-10,9,0,0.0
Alexandria Bass,21931263,SHV,2023-08-10,5,1,0.2
Monique Davis,39583203,STX,2023-08-10,7,6,0.86
James Rhodes,91962453,FTW,2023-08-10,7,3,0.43
Matthew Sanchez,96730712,FTW,2023-08-10,24,10,0.42
Seth Tran,26028559,SHV,2023-08-10,2,1,0.5
Jacob Taylor,82557048,SHV,2023-08-10,33,28,0.85
David West,97218182,FTW,2023-08-10,21,14,0.67
Christina Hernandez,73867417,OKC,2023-08-10,12,11,0.92
James Montoya,80808297,SHV,2023-08-10,22,8,0.36
James Cook,28080912,HOU,2023-08-10,23,4,0.17
Lisa Cox,85448011,OKC,2023-08-10,0,0,
James Thompson,54275980,SHV,2023-08-10,8,7,0.88
Brandy Miller,17426573,DAL,2023-08-10,71,59,0.83
Matthew Smith,33080142,STX,2023-08-10,16,16,1.0
Jeffrey Smith,83152142,STX,2023-08-10,27,9,0.33
Bobby Cummings,30700646,HOU,2023-08-10,12,10,0.83
Sean Robertson,63184988,HOU,2023-08-10,0,0,
Tammy Harris,75592235,STX,2023-08-10,1,1,1.0
Victoria Carlson,64573636,STX,2023-08-10,63,14,0.22
Ryan Brown,56185271,FTW,2023-08-10,41,13,0.32
Benjamin Stephens,34036186,DAL,2023-08-10,5,0,0.0
Douglas Nelson,7837865,OKC,2023-08-10,2,0,0.0
Monica Saunders,77624219,STX,2023-08-10,0,0,
Anne French,35660979,DAL,2023-08-10,14,9,0.64
Brian Fisher,76391571,DAL,2023-08-10,54,48,0.89
Jeanne Williamson,71039737,DAL,2023-08-10,6,0,0.0
Douglas Nichols,77270999,SHV,2023-08-11,5,4,0.8
David Ford,9977034,FTW,2023-08-11,2,1,0.5
Sean Obrien,15537511,HOU,2023-08-11,3,3,1.0
Natalie Hopkins,40497336,SHV,2023-08-11,6,0,0.0
Stacy Turner,73458833,DAL,2023-08-11,32,2,0.06
James Harris,90946995,FTW,2023-08-11,32,10,0.31
Sarah Cook,26413709,SHV,2023-08-11,44,12,0.27
Amy Escobar,24798974,SHV,2023-08-11,4,0,0.0
Latoya Salazar,67499931,OKC,2023-08-11,25,17,0.68
Brenda Anderson,19927556,SHV,2023-08-11,8,2,0.25
Rachel Williams,82865659,FTW,2023-08-11,35,12,0.34
Dana Stewart,60786305,STX,2023-08-11,32,0,0.0
Sandra Harris,96132022,DAL,2023-08-11,7,3,0.43
James Roach,20716601,STX,2023-08-11,69,32,0.46
Anna Arnold,66814478,DAL,2023-08-11,9,9,1.0
Jose Mendoza,69637807,HOU,2023-08-11,0,0,
Charles Lloyd,98201322,OKC,2023-08-11,2,1,0.5
Sheryl Hill,34639709,DAL,2023-08-11,7,1,0.14
David Murray,6339396,DAL,2023-08-11,3,3,1.0
Patricia Jackson,39617078,SHV,2023-08-11,1,0,0.0
Jordan Riggs,45897467,DAL,2023-08-11,25,16,0.64
Gregory Stewart,4886122,HOU,2023-08-11,9,0,0.0
Mark Collier,9309564,OKC,2023-08-11,111,102,0.92
Lauren Singleton,42856486,STX,2023-08-11,18,4,0.22
Ronald Duarte,50493362,SHV,2023-08-11,6,3,0.5
John White,93384238,STX,2023-08-11,5,1,0.2
Sandra Hopkins,48756022,DAL,2023-08-11,7,0,0.0
Jill Perez,18947956,DAL,2023-08-11,12,7,0.58
John Jones,77743148,HOU,2023-08-11,14,5,0.36
Valerie Martinez,11650492,FTW,2023-08-11,112,59,0.53
Chelsea Maddox,66295315,STX,2023-08-11,69,42,0.61
Chase Hammond,23514686,FTW,2023-08-11,44,34,0.77
Dorothy Mcbride,83218580,DAL,2023-08-11,25,4,0.16
Barbara Ryan,17568007,DAL,2023-08-11,9,9,1.0
Lynn Hawkins,87449731,HOU,2023-08-11,32,4,0.12
Clarence Gonzalez,2392005,HOU,2023-08-11,2,0,0.0
Anna Smith,2526554,FTW,2023-08-11,8,3,0.38
Peggy Tate,30840273,FTW,2023-08-11,24,6,0.25
Matthew Miles,88643207,FTW,2023-08-11,58,4,0.07
Ruth Hansen,26410811,OKC,2023-08-11,8,8,1.0
Melissa Jones,92375666,FTW,2023-08-11,14,10,0.71
Jose Lloyd,56962859,FTW,2023-08-11,9,0,0.0
Travis Hernandez,31868090,DAL,2023-08-11,3,0,0.0
Elaine Flores,82308356,OKC,2023-08-11,9,1,0.11
Kiara Williams,9364733,FTW,2023-08-11,12,10,0.83
Erin Johnson,47665349,HOU,2023-08-11,24,21,0.88
Kimberly Lawson,16559716,SHV,2023-08-11,35,9,0.26
Mary Watson,6002164,HOU,2023-08-11,16,9,0.56
David Newton,67750878,STX,2023-08-11,22,16,0.73
Rachel Parsons,26264579,FTW,2023-08-11,81,21,0.26
Karen Mathis,27600905,HOU,2023-08-11,12,2,0.17
Jennifer Bowman,59486462,FTW,2023-08-11,64,30,0.47
Patrick Small,39057094,HOU,2023-08-11,2,2,1.0
Jeremy Fry,1481337,STX,2023-08-11,16,11,0.69
Denise Sanchez,58873729,SHV,2023-08-11,11,11,1.0
Miranda West,46967111,STX,2023-08-11,24,19,0.79
Jose Carroll,34218855,FTW,2023-08-11,16,14,0.88
Roberto Alexander,57320968,FTW,2023-08-11,8,7,0.88
Colin King,27389471,OKC,2023-08-11,10,6,0.6
Ethan Gallegos,3536701,HOU,2023-08-11,6,2,0.33
Brittany Webb,37390235,FTW,2023-08-11,26,25,0.96
Austin Herrera,60256606,STX,2023-08-11,51,23,0.45
Bryan Pham,7886301,STX,2023-08-11,28,10,0.36
Brian Taylor,75222115,FTW,2023-08-11,8,4,0.5
Jennifer Brown,57107385,DAL,2023-08-11,1,0,0.0
Tiffany Smith,69716341,SHV,2023-08-11,10,7,0.7
Kristy Jacobs,68190334,HOU,2023-08-11,20,4,0.2
Tony Powell,20879496,DAL,2023-08-11,8,5,0.62
Brandon Moreno,4793547,DAL,2023-08-11,14,10,0.71
Anna Nelson,14325942,SHV,2023-08-11,11,11,1.0
Jacob Carr,74843235,DAL,2023-08-11,46,13,0.28
Pamela Maldonado,81354516,STX,2023-08-11,3,1,0.33
Ryan Porter,34435132,OKC,2023-08-11,31,27,0.87
Hunter Munoz,80766757,OKC,2023-08-11,0,0,
James Bartlett,92131686,OKC,2023-08-11,38,1,0.03
John Woodward,43839176,DAL,2023-08-11,6,0,0.0
Tina Brown,60561543,DAL,2023-08-11,18,2,0.11
Tina Hernandez,72195856,STX,2023-08-11,13,7,0.54
Monique Ray,64606888,HOU,2023-08-11,18,11,0.61
Dave Graham,11267032,STX,2023-08-11,24,20,0.83
Timothy Mccormick,12800401,STX,2023-08-11,1,1,1.0
Adam Farmer,43978655,DAL,2023-08-11,4,3,0.75
Chris Madden,94850672,OKC,2023-08-11,7,5,0.71
Daniel Ibarra,42835825,HOU,2023-08-11,14,2,0.14
Gary Jennings,17112032,DAL,2023-08-11,64,37,0.58
Tracy Johnson,8933606,STX,2023-08-11,16,12,0.75
Sara Davis,40994287,FTW,2023-08-11,45,20,0.44
Michael Gonzales,94497229,DAL,2023-08-11,5,0,0.0
Michael Leach,87179195,STX,2023-08-11,20,14,0.7
Mark Flowers,41639238,HOU,2023-08-11,9,5,0.56
Janice Farmer,97058780,STX,2023-08-11,28,10,0.36
Jacob Hood,31301588,FTW,2023-08-11,4,1,0.25
Elizabeth Stevenson,94871444,STX,2023-08-11,9,2,0.22
Tanner Romero,34636635,SHV,2023-08-11,3,0,0.0
Karen Wells,69335321,FTW,2023-08-11,49,34,0.69
Erik Thompson,49016266,HOU,2023-08-11,9,0,0.0
Rhonda Brooks,13604223,OKC,2023-08-11,20,10,0.5
Brandon Harrell,33123179,SHV,2023-08-11,1,0,0.0
Caitlin George,47685118,HOU,2023-08-11,22,19,0.86
Eric Jackson,53018010,SHV,2023-08-11,65,7,0.11
Thomas Cummings,57246918,FTW,2023-08-11,96,59,0.61
Heather Fuller,16604091,STX,2023-08-11,28,6,0.21
Jimmy Ruiz,63589781,SHV,2023-08-11,33,30,0.91
Veronica Powell,36801459,OKC,2023-08-11,19,4,0.21
Wanda Stanton,4154277,STX,2023-08-11,2,0,0.0
Tami Cooke,14858504,DAL,2023-08-11,14,3,0.21
Lori Glover,31638930,FTW,2023-08-11,7,4,0.57
Cassandra Mckinney,6676986,FTW,2023-08-11,34,31,0.91
Amanda Edwards,65745320,OKC,2023-08-11,42,20,0.48
Stephanie Williams,94908655,STX,2023-08-11,15,11,0.73
Sean Jensen,35869513,OKC,2023-08-11,14,2,0.14
Vicki Lucas,12893340,DAL,2023-08-11,30,21,0.7
Chris Strong,75702629,HOU,2023-08-11,27,11,0.41
Melody Morris,47601713,STX,2023-08-11,99,1,0.01
Brent Farmer,88724736,HOU,2023-08-11,6,3,0.5
Kaitlyn Riley,59208620,FTW,2023-08-11,0,0,
Hunter Woods,75028321,DAL,2023-08-11,8,6,0.75
Jared Brown,52539361,FTW,2023-08-11,63,58,0.92
Tammy Martinez,70842924,DAL,2023-08-11,0,0,
Amy Griffin,18363974,FTW,2023-08-11,8,8,1.0
Susan Carlson,16135607,OKC,2023-08-11,29,22,0.76
Aaron Gaines,52252216,SHV,2023-08-11,50,29,0.58
Jacob Mccormick,72130366,SHV,2023-08-11,4,2,0.5
Timothy Doyle,7543154,FTW,2023-08-11,0,0,
Alexandria Bass,21931263,SHV,2023-08-11,11,6,0.55
Monique Davis,39583203,STX,2023-08-11,38,38,1.0
James Rhodes,91962453,FTW,2023-08-11,39,37,0.95
Matthew Sanchez,96730712,FTW,2023-08-11,33,21,0.64
Seth Tran,26028559,SHV,2023-08-11,3,0,0.0
Jacob Taylor,82557048,SHV,2023-08-11,0,0,
David West,97218182,FTW,2023-08-11,16,2,0.12
Christina Hernandez,73867417,OKC,2023-08-11,3,2,0.67
James Montoya,80808297,SHV,2023-08-11,74,46,0.62
James Cook,28080912,HOU,2023-08-11,0,0,
Lisa Cox,85448011,OKC,2023-08-11,16,5,0.31
James Thompson,54275980,SHV,2023-08-11,2,1,0.5
Brandy Miller,17426573,DAL,2023-08-11,2,1,0.5
Matthew Smith,33080142,STX,2023-08-11,12,8,0.67
Jeffrey Smith,83152142,STX,2023-08-11,16,6,0.38
Bobby Cummings,30700646,HOU,2023-08-11,5,5,1.0
Sean Robertson,63184988,HOU,2023-08-11,60,5,0.08
Tammy Harris,75592235,STX,2023-08-11,3,3,1.0
Victoria Carlson,64573636,STX,2023-08-11,18,8,0.44
Ryan Brown,56185271,FTW,2023-08-11,2,1,0.5
Benjamin Stephens,34036186,DAL,2023-08-11,13,2,0.15
Douglas Nelson,7837865,OKC,2023-08-11,13,11,0.85
Monica Saunders,77624219,STX,2023-08-11,63,39,0.62
Anne French,35660979,DAL,2023-08-11,3,2,0.67
Brian Fisher,76391571,DAL,2023-08-11,21,1,0.05
Jeanne Williamson,71039737,DAL,2023-08-11,35,33,0.94
Douglas Nichols,77270999,SHV,2023-08-14,6,6,1.0
David Ford,9977034,FTW,2023-08-14,23,14,0.61
Sean Obrien,15537511,HOU,2023-08-14,6,5,0.83
