Name,Employee ID,Service Center,Date,Bills per Hour,Handled Shipments,Damaged,First Punch to Scan,First Scan to Punch,Second Punch to Scan,Second Scan to Punch,Dock Time
Alexandria Bass,21931263,SHV,2023-08-16,8.2,22,0,12,8,15,16,2.68
Monique Davis,39583203,STX,2023-08-16,6.8,71,0,10,6,16,5,10.44
James Rhodes,91962453,FTW,2023-08-16,5.5,33,0,15,14,50,11,6.0
Matthew Sanchez,96730712,FTW,2023-08-16,9.2,78,1,5,11,11,8,8.48
Seth Tran,26028559,SHV,2023-08-16,7.0,29,0,9,8,17,8,4.14
Jacob Taylor,82557048,SHV,2023-08-16,7.8,62,1,15,14,4,18,7.95
David West,97218182,FTW,2023-08-16,6.1,47,1,13,12,11,3,7.7
Christina Hernandez,73867417,OKC,2023-08-16,4.8,19,1,10,5,31,8,3.96
James Montoya,80808297,SHV,2023-08-16,3.2,24,2,8,4,8,68,7.5
James Cook,28080912,HOU,2023-08-16,4.3,37,1,14,3,16,12,8.6
Lisa Cox,85448011,OKC,2023-08-16,10.1,31,0,15,19,8,14,3.07
James Thompson,54275980,SHV,2023-08-16,11.4,80,0,24,46,8,9,7.02
Brandy Miller,17426573,DAL,2023-08-16,8.7,47,0,10,12,15,9,5.4
Matthew Smith,33080142,STX,2023-08-16,9.4,64,1,9,15,11,17,6.81
Jeffrey Smith,83152142,STX,2023-08-16,3.9,43,0,3,4,14,13,11.03
Bobby Cummings,30700646,HOU,2023-08-16,6.7,16,1,15,6,3,18,2.39
Sean Robertson,63184988,HOU,2023-08-16,9.4,73,0,16,14,6,9,7.77
Tammy Harris,75592235,STX,2023-08-16,11.1,111,1,16,15,6,9,10.0
Victoria Carlson,64573636,STX,2023-08-16,4.6,34,1,9,9,15,4,7.39
Ryan Brown,56185271,FTW,2023-08-16,2.6,22,1,11,13,9,54,8.46
Benjamin Stephens,34036186,DAL,2023-08-16,8.1,32,1,2,14,40,7,3.95
Douglas Nelson,7837865,OKC,2023-08-16,10.8,114,0,7,19,18,6,10.56
Monica Saunders,77624219,STX,2023-08-16,10.0,95,1,14,6,4,4,9.5
Anne French,35660979,DAL,2023-08-16,8.0,18,1,7,16,4,18,2.25
Brian Fisher,76391571,DAL,2023-08-16,9.5,97,0,15,11,9,39,10.21
Jeanne Williamson,71039737,DAL,2023-08-16,8.9,55,1,13,2,12,9,6.18
Douglas Nichols,77270999,SHV,2023-08-17,8.9,101,0,16,3,58,9,11.35
David Ford,9977034,FTW,2023-08-17,3.1,22,1,7,16,15,11,7.1
Sean Obrien,15537511,HOU,2023-08-17,7.6,87,1,46,52,14,8,11.45
Natalie Hopkins,40497336,SHV,2023-08-17,9.8,69,0,14,2,6,7,7.04
Stacy Turner,73458833,DAL,2023-08-17,4.4,35,3,7,19,8,61,7.95
James Harris,90946995,FTW,2023-08-17,3.6,18,0,3,16,9,14,5.0
Sarah Cook,26413709,SHV,2023-08-17,3.6,43,1,19,15,5,6,11.94
Amy Escobar,24798974,SHV,2023-08-17,10.9,52,0,4,15,31,4,4.77
Latoya Salazar,67499931,OKC,2023-08-17,11.3,33,0,16,6,15,10,2.92
Brenda Anderson,19927556,SHV,2023-08-17,10.4,103,0,9,5,19,9,9.9
Rachel Williams,82865659,FTW,2023-08-17,9.6,27,0,4,19,9,17,2.81
Dana Stewart,60786305,STX,2023-08-17,5.3,11,0,9,18,16,18,2.08
Sandra Harris,96132022,DAL,2023-08-17,2.5,27,0,12,3,8,8,10.8
James Roach,20716601,STX,2023-08-17,6.3,37,0,8,11,16,6,5.87
Anna Arnold,66814478,DAL,2023-08-17,7.1,82,0,19,7,7,8,11.55
Jose Mendoza,69637807,HOU,2023-08-17,5.5,39,1,13,15,7,43,7.09
Charles Lloyd,98201322,OKC,2023-08-17,3.4,37,1,5,15,10,6,10.88
Sheryl Hill,34639709,DAL,2023-08-17,4.1,38,1,10,15,5,18,9.27
David Murray,6339396,DAL,2023-08-17,6.7,25,0,18,8,14,5,3.73
Patricia Jackson,39617078,SHV,2023-08-17,5.1,44,0,22,24,10,14,8.63
Jordan Riggs,45897467,DAL,2023-08-17,3.0,23,1,15,3,41,12,7.67
Gregory Stewart,4886122,HOU,2023-08-17,7.4,76,0,7,14,17,7,10.27
Mark Collier,9309564,OKC,2023-08-17,9.7,74,1,10,8,12,3,7.63
Lauren Singleton,42856486,STX,2023-08-17,1.2,8,1,8,8,18,19,6.67
Ronald Duarte,50493362,SHV,2023-08-17,7.0,36,0,4,13,55,18,5.14
John White,93384238,STX,2023-08-17,5.2,58,1,11,18,7,7,11.15
Sandra Hopkins,48756022,DAL,2023-08-17,1.3,11,3,8,10,14,32,8.46
Jill Perez,18947956,DAL,2023-08-17,5.9,17,0,14,13,12,56,2.88
John Jones,77743148,HOU,2023-08-17,6.0,37,0,14,6,11,19,6.17
Valerie Martinez,11650492,FTW,2023-08-17,3.9,42,1,5,6,13,19,10.77
Chelsea Maddox,66295315,STX,2023-08-17,7.2,60,1,12,6,11,13,8.33
Chase Hammond,23514686,FTW,2023-08-17,11.3,51,0,7,5,6,13,4.51
Dorothy Mcbride,83218580,DAL,2023-08-17,8.9,102,0,3,17,8,3,11.46
Barbara Ryan,17568007,DAL,2023-08-17,4.0,24,0,15,4,66,17,6.0
Lynn Hawkins,87449731,HOU,2023-08-17,10.7,101,1,10,7,4,14,9.44
Clarence Gonzalez,2392005,HOU,2023-08-17,7.7,86,0,12,7,19,12,11.17
Anna Smith,2526554,FTW,2023-08-17,8.4,53,0,52,59,13,13,6.31
Peggy Tate,30840273,FTW,2023-08-17,4.4,50,0,2,9,17,68,11.36
Matthew Miles,88643207,FTW,2023-08-17,10.4,104,1,13,11,12,12,10.0
Ruth Hansen,26410811,OKC,2023-08-17,8.4,76,0,14,11,18,16,9.05
Melissa Jones,92375666,FTW,2023-08-17,3.3,13,1,2,12,10,6,3.94
Jose Lloyd,56962859,FTW,2023-08-17,7.9,73,1,2,8,17,10,9.24
Travis Hernandez,31868090,DAL,2023-08-17,10.4,93,1,5,13,8,10,8.94
Elaine Flores,82308356,OKC,2023-08-17,9.6,106,0,18,6,18,19,11.04
Kiara Williams,9364733,FTW,2023-08-17,1.5,12,1,15,9,5,4,8.0
Erin Johnson,47665349,HOU,2023-08-17,5.9,32,1,5,7,18,8,5.42
Kimberly Lawson,16559716,SHV,2023-08-17,10.5,44,0,16,19,49,4,4.19
Mary Watson,6002164,HOU,2023-08-17,9.7,103,0,8,13,12,4,10.62
David Newton,67750878,STX,2023-08-17,7.3,59,3,7,10,44,34,8.08
Rachel Parsons,26264579,FTW,2023-08-17,4.4,15,0,14,8,11,10,3.41
Karen Mathis,27600905,HOU,2023-08-17,6.7,41,1,17,11,8,8,6.12
Jennifer Bowman,59486462,FTW,2023-08-17,4.5,26,0,6,5,5,2,5.78
Patrick Small,39057094,HOU,2023-08-17,3.1,20,0,15,14,18,5,6.45
Jeremy Fry,1481337,STX,2023-08-17,7.5,73,1,57,26,11,16,9.73
Denise Sanchez,58873729,SHV,2023-08-17,5.5,12,1,9,17,5,2,2.18
Miranda West,46967111,STX,2023-08-17,9.3,19,1,19,12,2,6,2.04
Jose Carroll,34218855,FTW,2023-08-17,5.0,23,1,5,16,7,39,4.6
Roberto Alexander,57320968,FTW,2023-08-17,9.2,68,0,11,13,3,5,7.39
Colin King,27389471,OKC,2023-08-17,6.6,26,1,3,8,17,11,3.94
Ethan Gallegos,3536701,HOU,2023-08-17,7.1,14,1,11,6,54,36,1.97
Brittany Webb,37390235,FTW,2023-08-17,7.2,57,1,19,13,12,8,7.92
Austin Herrera,60256606,STX,2023-08-17,3.4,12,0,9,10,11,9,3.53
Bryan Pham,7886301,STX,2023-08-17,8.6,101,1,12,5,7,4,11.74
Brian Taylor,75222115,FTW,2023-08-17,3.1,36,1,11,16,19,3,11.61
Jennifer Brown,57107385,DAL,2023-08-17,6.0,63,1,6,16,9,15,10.5
Tiffany Smith,69716341,SHV,2023-08-17,6.3,29,1,6,6,12,17,4.6
Kristy Jacobs,68190334,HOU,2023-08-17,10.7,86,1,7,3,14,16,8.04
Tony Powell,20879496,DAL,2023-08-17,2.9,33,1,15,3,15,14,11.38
Brandon Moreno,4793547,DAL,2023-08-17,1.3,3,1,14,19,17,6,2.31
Anna Nelson,14325942,SHV,2023-08-17,2.9,6,1,10,13,17,8,2.07
Jacob Carr,74843235,DAL,2023-08-17,7.8,24,2,48,55,7,31,3.08
Pamela Maldonado,81354516,STX,2023-08-17,10.5,122,1,15,10,8,11,11.62
Ryan Porter,34435132,OKC,2023-08-17,8.7,32,1,10,4,67,11,3.68
Hunter Munoz,80766757,OKC,2023-08-17,3.1,28,1,13,15,19,6,9.03
James Bartlett,92131686,OKC,2023-08-17,0.6,7,1,8,4,9,2,11.67
John Woodward,43839176,DAL,2023-08-17,6.2,35,0,10,19,10,11,5.65
Tina Brown,60561543,DAL,2023-08-17,1.9,17,1,15,15,8,4,8.95
Tina Hernandez,72195856,STX,2023-08-17,11.1,70,0,8,2,2,10,6.31
Monique Ray,64606888,HOU,2023-08-17,8.7,86,1,12,11,5,11,9.89
Dave Graham,11267032,STX,2023-08-17,4.1,22,1,10,7,8,8,5.37
Timothy Mccormick,12800401,STX,2023-08-17,11.6,87,0,7,16,11,16,7.5
Adam Farmer,43978655,DAL,2023-08-17,10.1,32,1,16,12,5,65,3.17
Chris Madden,94850672,OKC,2023-08-17,4.4,44,0,17,11,2,16,10.0
Daniel Ibarra,42835825,HOU,2023-08-17,11.3,26,1,18,12,14,6,2.3
Gary Jennings,17112032,DAL,2023-08-17,7.3,76,1,2,4,5,18,10.41
Tracy Johnson,8933606,STX,2023-08-17,7.6,83,0,9,17,42,28,10.92
Sara Davis,40994287,FTW,2023-08-17,7.9,42,0,6,18,6,9,5.32
Michael Gonzales,94497229,DAL,2023-08-17,5.7,55,1,41,46,9,19,9.65
Michael Leach,87179195,STX,2023-08-17,4.9,18,0,6,17,16,17,3.67
Mark Flowers,41639238,HOU,2023-08-17,11.4,84,1,12,7,11,6,7.37
Janice Farmer,97058780,STX,2023-08-17,10.8,85,1,16,9,10,9,7.87
Jacob Hood,31301588,FTW,2023-08-17,7.2,44,1,10,9,3,14,6.11
Elizabeth Stevenson,94871444,STX,2023-08-17,0.7,1,3,6,11,4,45,1.43
Tanner Romero,34636635,SHV,2023-08-17,10.3,68,1,19,12,8,5,6.6
Karen Wells,69335321,FTW,2023-08-17,2.4,22,1,12,8,10,9,9.17
Erik Thompson,49016266,HOU,2023-08-17,9.0,63,0,5,8,11,15,7.0
Rhonda Brooks,13604223,OKC,2023-08-17,3.8,37,1,8,19,49,9,9.74
Brandon Harrell,33123179,SHV,2023-08-17,2.5,22,1,7,14,2,18,8.8
Caitlin George,47685118,HOU,2023-08-17,10.8,76,0,9,9,28,5,7.04
Eric Jackson,53018010,SHV,2023-08-17,11.2,92,0,12,9,3,6,8.21
Thomas Cummings,57246918,FTW,2023-08-17,8.5,24,1,9,2,10,17,2.82
Heather Fuller,16604091,STX,2023-08-17,5.3,40,1,10,13,11,16,7.55
Jimmy Ruiz,63589781,SHV,2023-08-17,5.1,52,1,4,11,2,2,10.2
Veronica Powell,36801459,OKC,2023-08-17,11.8,46,0,7,18,16,30,3.9
Wanda Stanton,4154277,STX,2023-08-17,9.5,99,0,34,55,12,10,10.42
Tami Cooke,14858504,DAL,2023-08-17,8.4,31,0,3,7,12,10,3.69
Lori Glover,31638930,FTW,2023-08-17,0.7,6,0,9,10,9,8,8.57
Cassandra Mckinney,6676986,FTW,2023-08-17,0.6,7,0,16,3,13,7,11.67
Amanda Edwards,65745320,OKC,2023-08-17,2.4,28,0,6,11,4,5,11.67
Stephanie Williams,94908655,STX,2023-08-17,9.4,61,1,6,3,4,18,6.49
Sean Jensen,35869513,OKC,2023-08-17,3.8,29,1,9,18,9,16,7.63
Vicki Lucas,12893340,DAL,2023-08-17,10.6,105,1,19,9,66,16,9.91
Chris Strong,75702629,HOU,2023-08-17,10.2,59,0,18,13,10,16,5.78
Melody Morris,47601713,STX,2023-08-17,10.3,94,0,10,11,11,16,9.13
Brent Farmer,88724736,HOU,2023-08-17,6.2,16,3,16,13,14,69,2.58
Kaitlyn Riley,59208620,FTW,2023-08-17,9.2,83,1,2,6,16,3,9.02
Hunter Woods,75028321,DAL,2023-08-17,4.8,17,1,7,15,11,18,3.54
Jared Brown,52539361,FTW,2023-08-17,11.8,26,1,5,15,4,13,2.2
Tammy Martinez,70842924,DAL,2023-08-17,2.0,6,0,9,17,18,2,3.0
Amy Griffin,18363974,FTW,2023-08-17,5.8,69,1,18,4,12,15,11.9
Susan Carlson,16135607,OKC,2023-08-17,0.8,3,1,12,13,22,17,3.75
Aaron Gaines,52252216,SHV,2023-08-17,1.0,6,0,28,25,11,8,6.0
Jacob Mccormick,72130366,SHV,2023-08-17,4.4,33,0,13,6,5,18,7.5
Timothy Doyle,7543154,FTW,2023-08-17,11.5,45,1,9,13,13,5,3.91
Alexandria Bass,21931263,SHV,2023-08-17,7.3,28,1,19,11,36,16,3.84
Monique Davis,39583203,STX,2023-08-17,5.9,11,0,19,7,19,25,1.86
James Rhodes,91962453,FTW,2023-08-17,2.5,13,0,2,5,9,7,5.2
Matthew Sanchez,96730712,FTW,2023-08-17,8.8,85,0,9,7,16,19,9.66
Seth Tran,26028559,SHV,2023-08-17,11.8,86,0,18,4,15,12,7.29
Jacob Taylor,82557048,SHV,2023-08-17,3.3,32,0,16,7,18,19,9.7
David West,97218182,FTW,2023-08-17,2.4,18,0,13,6,4,12,7.5
Christina Hernandez,73867417,OKC,2023-08-17,1.2,5,1,9,19,3,16,4.17
James Montoya,80808297,SHV,2023-08-17,8.6,80,0,3,8,18,12,9.3
James Cook,28080912,HOU,2023-08-17,7.1,29,0,12,18,11,5,4.08
Lisa Cox,85448011,OKC,2023-08-17,1.8,5,1,9,17,3,7,2.78
James Thompson,54275980,SHV,2023-08-17,4.9,26,0,10,9,8,7,5.31
Brandy Miller,17426573,DAL,2023-08-17,10.4,21,3,10,3,17,43,2.02
Matthew Smith,33080142,STX,2023-08-17,6.8,20,0,3,17,56,16,2.94
Jeffrey Smith,83152142,STX,2023-08-17,4.8,21,1,55,46,4,11,4.38
Bobby Cummings,30700646,HOU,2023-08-17,4.3,48,0,6,18,19,13,11.16
Sean Robertson,63184988,HOU,2023-08-17,10.7,47,1,6,18,12,3,4.39
Tammy Harris,75592235,STX,2023-08-17,8.7,87,0,11,15,6,7,10.0
Victoria Carlson,64573636,STX,2023-08-17,1.2,6,0,11,3,9,4,5.0
Ryan Brown,56185271,FTW,2023-08-17,10.0,75,0,4,15,17,68,7.5
Benjamin Stephens,34036186,DAL,2023-08-17,7.1,26,1,2,6,50,10,3.66
Douglas Nelson,7837865,OKC,2023-08-17,11.3,23,0,18,11,15,8,2.04
Monica Saunders,77624219,STX,2023-08-17,9.2,44,1,5,11,6,5,4.78
Anne French,35660979,DAL,2023-08-17,5.2,30,1,17,17,14,27,5.77
Brian Fisher,76391571,DAL,2023-08-17,6.7,19,0,9,10,7,18,2.84
Jeanne Williamson,71039737,DAL,2023-08-17,3.8,28,0,5,19,11,6,7.37
Douglas Nichols,77270999,SHV,2023-08-18,4.6,13,0,3,13,67,14,2.83
David Ford,9977034,FTW,2023-08-18,2.2,8,0,8,17,16,17,3.64
Sean Obrien,15537511,HOU,2023-08-18,9.2,40,1,3,7,11,7,4.35
Natalie Hopkins,40497336,SHV,2023-08-18,3.2,6,1,15,14,6,15,1.88
Stacy Turner,73458833,DAL,2023-08-18,8.6,96,0,16,7,4,15,11.16
James Harris,90946995,FTW,2023-08-18,8.7,35,0,30,45,2,2,4.02
Sarah Cook,26413709,SHV,2023-08-18,10.9,98,0,15,13,15,15,8.99
Amy Escobar,24798974,SHV,2023-08-18,2.7,15,0,15,14,14,12,5.56
Latoya Salazar,67499931,OKC,2023-08-18,6.4,42,2,18,13,14,66,6.56
Brenda Anderson,19927556,SHV,2023-08-18,7.5,66,0,19,15,19,19,8.8
Rachel Williams,82865659,FTW,2023-08-18,8.7,27,1,14,19,3,8,3.1
Dana Stewart,60786305,STX,2023-08-18,11.7,30,1,15,7,4,19,2.56
Sandra Harris,96132022,DAL,2023-08-18,1.5,3,1,19,17,13,8,2.0
James Roach,20716601,STX,2023-08-18,6.1,62,1,13,9,22,10,10.16
Anna Arnold,66814478,DAL,2023-08-18,3.2,36,1,13,11,3,5,11.25
Jose Mendoza,69637807,HOU,2023-08-18,8.3,33,1,13,9,3,3,3.98
Charles Lloyd,98201322,OKC,2023-08-18,7.5,88,0,9,12,3,5,11.73
Sheryl Hill,34639709,DAL,2023-08-18,6.8,79,1,11,16,2,4,11.62
David Murray,6339396,DAL,2023-08-18,1.9,4,0,2,16,58,4,2.11
Patricia Jackson,39617078,SHV,2023-08-18,1.9,19,1,15,7,6,35,10.0
Jordan Riggs,45897467,DAL,2023-08-18,5.4,25,0,4,10,18,10,4.63
Gregory Stewart,4886122,HOU,2023-08-18,8.8,55,0,18,12,5,11,6.25
Mark Collier,9309564,OKC,2023-08-18,5.1,31,0,67,33,8,41,6.08
Lauren Singleton,42856486,STX,2023-08-18,5.8,13,0,2,15,18,4,2.24
Ronald Duarte,50493362,SHV,2023-08-18,6.0,54,0,12,10,16,9,9.0
John White,93384238,STX,2023-08-18,8.5,94,1,14,16,17,2,11.06
Sandra Hopkins,48756022,DAL,2023-08-18,4.0,36,0,7,9,68,6,9.0
Jill Perez,18947956,DAL,2023-08-18,9.4,22,1,7,10,6,4,2.34
John Jones,77743148,HOU,2023-08-18,6.0,16,1,13,7,18,6,2.67
Valerie Martinez,11650492,FTW,2023-08-18,11.8,140,1,5,11,13,8,11.86
Chelsea Maddox,66295315,STX,2023-08-18,7.4,43,3,18,14,6,55,5.81
Chase Hammond,23514686,FTW,2023-08-18,8.6,65,1,3,12,13,8,7.56
Dorothy Mcbride,83218580,DAL,2023-08-18,2.4,26,0,11,3,19,15,10.83
Barbara Ryan,17568007,DAL,2023-08-18,3.5,10,1,17,16,8,10,2.86
Lynn Hawkins,87449731,HOU,2023-08-18,1.5,10,0,6,6,9,8,6.67
Clarence Gonzalez,2392005,HOU,2023-08-18,0.9,4,0,17,17,9,19,4.44
Anna Smith,2526554,FTW,2023-08-18,1.9,20,1,11,6,18,4,10.53
Peggy Tate,30840273,FTW,2023-08-18,5.0,23,1,14,3,2,5,4.6
Matthew Miles,88643207,FTW,2023-08-18,3.4,39,1,9,8,19,7,11.47
Ruth Hansen,26410811,OKC,2023-08-18,1.1,12,0,28,48,43,13,10.91
Melissa Jones,92375666,FTW,2023-08-18,9.2,54,1,5,5,10,14,5.87
Jose Lloyd,56962859,FTW,2023-08-18,6.5,19,1,2,7,18,52,2.92
Travis Hernandez,31868090,DAL,2023-08-18,10.1,83,1,10,6,43,3,8.22
Elaine Flores,82308356,OKC,2023-08-18,0.8,5,1,7,19,14,15,6.25
Kiara Williams,9364733,FTW,2023-08-18,5.4,21,1,15,18,16,3,3.89
Erin Johnson,47665349,HOU,2023-08-18,9.8,37,0,11,19,11,7,3.78
Kimberly Lawson,16559716,SHV,2023-08-18,5.9,38,0,12,17,12,3,6.44
Mary Watson,6002164,HOU,2023-08-18,9.4,30,1,15,2,14,10,3.19
David Newton,67750878,STX,2023-08-18,0.9,7,0,6,9,17,4,7.78
Rachel Parsons,26264579,FTW,2023-08-18,1.8,10,0,11,2,18,15,5.56
Karen Mathis,27600905,HOU,2023-08-18,11.7,107,1,6,17,17,9,9.15
Jennifer Bowman,59486462,FTW,2023-08-18,2.3,16,1,10,10,10,49,6.96
Patrick Small,39057094,HOU,2023-08-18,2.4,5,3,7,7,42,37,2.08
Jeremy Fry,1481337,STX,2023-08-18,1.8,13,1,10,18,13,17,7.22
Denise Sanchez,58873729,SHV,2023-08-18,7.5,73,1,6,17,3,15,9.73
Miranda West,46967111,STX,2023-08-18,6.2,50,1,14,3,10,14,8.06
Jose Carroll,34218855,FTW,2023-08-18,8.7,76,0,53,58,17,4,8.74
Roberto Alexander,57320968,FTW,2023-08-18,8.2,47,1,6,7,13,16,5.73
Colin King,27389471,OKC,2023-08-18,7.9,53,0,16,19,5,7,6.71
Ethan Gallegos,3536701,HOU,2023-08-18,3.8,40,1,8,7,10,6,10.53
Brittany Webb,37390235,FTW,2023-08-18,7.5,35,0,16,11,5,16,4.67
Austin Herrera,60256606,STX,2023-08-18,4.3,22,0,7,4,4,5,5.12
Bryan Pham,7886301,STX,2023-08-18,7.8,73,1,7,7,16,11,9.36
Brian Taylor,75222115,FTW,2023-08-18,11.5,120,1,8,3,15,61,10.43
Jennifer Brown,57107385,DAL,2023-08-18,11.5,118,0,6,18,12,18,10.26
Tiffany Smith,69716341,SHV,2023-08-18,11.3,80,0,18,15,67,14,7.08
Kristy Jacobs,68190334,HOU,2023-08-18,11.6,49,1,4,13,28,15,4.22
Tony Powell,20879496,DAL,2023-08-18,8.8,39,1,16,13,14,7,4.43
Brandon Moreno,4793547,DAL,2023-08-18,7.2,53,1,9,16,13,11,7.36
Anna Nelson,14325942,SHV,2023-08-18,4.8,43,0,2,18,15,19,8.96
Jacob Carr,74843235,DAL,2023-08-18,8.1,78,0,4,14,18,3,9.63
Pamela Maldonado,81354516,STX,2023-08-18,10.7,65,0,13,11,18,2,6.07
Ryan Porter,34435132,OKC,2023-08-18,11.5,99,1,13,6,13,9,8.61
Hunter Munoz,80766757,OKC,2023-08-18,1.4,6,0,51,58,12,19,4.29
James Bartlett,92131686,OKC,2023-08-18,7.6,47,3,13,13,19,29,6.18
John Woodward,43839176,DAL,2023-08-18,8.9,66,1,15,5,7,2,7.42
Tina Brown,60561543,DAL,2023-08-18,5.8,38,0,3,19,9,5,6.55
Tina Hernandez,72195856,STX,2023-08-18,6.6,28,0,3,18,2,11,4.24
Monique Ray,64606888,HOU,2023-08-18,8.1,20,1,6,17,52,9,2.47
Dave Graham,11267032,STX,2023-08-18,7.8,34,0,11,3,16,5,4.36
Timothy Mccormick,12800401,STX,2023-08-18,1.1,9,0,12,15,11,36,8.18
Adam Farmer,43978655,DAL,2023-08-18,2.0,8,0,14,6,4,10,4.0
Chris Madden,94850672,OKC,2023-08-18,8.5,98,1,9,9,8,7,11.53
Daniel Ibarra,42835825,HOU,2023-08-18,8.2,77,0,6,8,4,8,9.39
Gary Jennings,17112032,DAL,2023-08-18,5.6,26,1,15,5,8,10,4.64
Tracy Johnson,8933606,STX,2023-08-18,11.6,48,1,4,10,3,44,4.14
Sara Davis,40994287,FTW,2023-08-18,8.1,54,0,3,2,6,5,6.67
Michael Gonzales,94497229,DAL,2023-08-18,3.3,29,0,11,4,13,2,8.79
Michael Leach,87179195,STX,2023-08-18,8.2,36,1,18,5,18,6,4.39
Mark Flowers,41639238,HOU,2023-08-18,4.3,43,1,11,3,14,4,10.0
Janice Farmer,97058780,STX,2023-08-18,2.3,20,1,62,23,61,16,8.7
Jacob Hood,31301588,FTW,2023-08-18,9.5,47,1,15,17,48,14,4.95
Elizabeth Stevenson,94871444,STX,2023-08-18,9.3,69,0,19,18,16,7,7.42
Tanner Romero,34636635,SHV,2023-08-18,11.2,123,1,14,8,10,3,10.98
Karen Wells,69335321,FTW,2023-08-18,7.5,87,1,12,18,15,18,11.6
Erik Thompson,49016266,HOU,2023-08-18,8.4,93,1,19,11,19,12,11.07
Rhonda Brooks,13604223,OKC,2023-08-18,7.7,34,3,15,12,14,26,4.42
Brandon Harrell,33123179,SHV,2023-08-18,2.0,9,0,7,17,6,15,4.5
Caitlin George,47685118,HOU,2023-08-18,4.3,37,1,2,7,7,12,8.6
Eric Jackson,53018010,SHV,2023-08-18,10.5,50,1,5,19,14,6,4.76
Thomas Cummings,57246918,FTW,2023-08-18,5.1,46,0,2,19,5,5,9.02
Heather Fuller,16604091,STX,2023-08-18,3.0,29,0,14,2,6,14,9.67
Jimmy Ruiz,63589781,SHV,2023-08-18,10.5,62,0,3,12,16,14,5.9
Veronica Powell,36801459,OKC,2023-08-18,8.1,45,0,9,16,5,10,5.56
Wanda Stanton,4154277,STX,2023-08-18,4.7,18,0,18,19,30,13,3.83
Tami Cooke,14858504,DAL,2023-08-18,11.8,115,1,14,10,5,19,9.75
Lori Glover,31638930,FTW,2023-08-18,2.6,26,1,5,9,18,10,10.0
Cassandra Mckinney,6676986,FTW,2023-08-18,4.7,50,1,55,43,15,65,10.64
Amanda Edwards,65745320,OKC,2023-08-18,9.2,73,0,11,11,6,5,7.93
Stephanie Williams,94908655,STX,2023-08-18,2.0,18,1,13,5,10,53,9.0
Sean Jensen,35869513,OKC,2023-08-18,3.8,45,1,9,15,10,16,11.84
Vicki Lucas,12893340,DAL,2023-08-18,5.9,62,1,12,5,16,18,10.51
Chris Strong,75702629,HOU,2023-08-18,9.4,85,1,7,7,13,4,9.04
Melody Morris,47601713,STX,2023-08-18,0.5,1,0,8,8,3,17,2.0
Brent Farmer,88724736,HOU,2023-08-18,2.5,22,0,16,4,42,7,8.8
Kaitlyn Riley,59208620,FTW,2023-08-18,6.4,29,0,12,17,14,2,4.53
Hunter Woods,75028321,DAL,2023-08-18,6.8,33,0,18,16,11,11,4.85
Jared Brown,52539361,FTW,2023-08-18,10.5,55,0,10,10,31,7,5.24
Tammy Martinez,70842924,DAL,2023-08-18,4.3,44,2,10,19,3,50,10.23
Amy Griffin,18363974,FTW,2023-08-18,1.4,12,1,5,6,17,8,8.57
Susan Carlson,16135607,OKC,2023-08-18,2.3,26,1,3,3,13,17,11.3
Aaron Gaines,52252216,SHV,2023-08-18,1.3,5,1,9,11,9,17,3.85
Jacob Mccormick,72130366,SHV,2023-08-18,6.1,59,1,10,12,18,3,9.67
Timothy Doyle,7543154,FTW,2023-08-18,11.3,78,1,8,7,10,19,6.9
Alexandria Bass,21931263,SHV,2023-08-18,8.6,23,0,62,36,19,4,2.67
Monique Davis,39583203,STX,2023-08-18,9.7,60,1,12,19,14,14,6.19
James Rhodes,91962453,FTW,2023-08-18,10.8,110,1,16,12,5,10,10.19
Matthew Sanchez,96730712,FTW,2023-08-18,11.0,68,0,17,18,15,2,6.18
Seth Tran,26028559,SHV,2023-08-18,7.4,17,1,4,17,11,3,2.3
Jacob Taylor,82557048,SHV,2023-08-18,7.5,45,0,11,19,14,60,6.0
David West,97218182,FTW,2023-08-18,1.6,4,0,6,2,25,16,2.5
Christina Hernandez,73867417,OKC,2023-08-18,11.4,35,1,4,7,18,6,3.07
James Montoya,80808297,SHV,2023-08-18,5.0,27,1,7,18,6,16,5.4
James Cook,28080912,HOU,2023-08-18,1.8,19,0,13,15,5,14,10.56
Lisa Cox,85448011,OKC,2023-08-18,2.6,20,1,17,13,6,15,7.69
James Thompson,54275980,SHV,2023-08-18,11.8,99,1,7,2,3,10,8.39
Brandy Miller,17426573,DAL,2023-08-18,5.4,15,1,19,15,15,5,2.78
Matthew Smith,33080142,STX,2023-08-18,6.0,52,1,12,13,17,13,8.67
Jeffrey Smith,83152142,STX,2023-08-18,3.6,19,0,19,4,56,34,5.28
Bobby Cummings,30700646,HOU,2023-08-18,5.3,43,0,14,19,19,13,8.11
Sean Robertson,63184988,HOU,2023-08-18,3.8,34,2,3,4,18,65,8.95
Tammy Harris,75592235,STX,2023-08-18,1.1,2,1,63,24,9,13,1.82
Victoria Carlson,64573636,STX,2023-08-18,4.7,19,1,5,6,2,3,4.04
Ryan Brown,56185271,FTW,2023-08-18,9.5,55,1,13,10,63,7,5.79
Benjamin Stephens,34036186,DAL,2023-08-18,3.2,35,1,9,18,18,8,10.94
Douglas Nelson,7837865,OKC,2023-08-18,2.9,15,1,3,15,12,16,5.17
Monica Saunders,77624219,STX,2023-08-18,5.3,19,1,19,14,2,18,3.58
